WRB Code,Soil type,Area (km2),Sand (%),Clay (%),OM (%),pH (Water),EC (dS/m),Tot. N (ppm),P (ppm),K (ton/ha),S (ppm),CaCO  (ton/ha)3
AR-cm,Calcaric Cambic Fluvisol,28.2,37.08 (±19.5) *,10.8 (±2.07),0.751 (±0.265),8.007 (±0.2),0.99 (±0.68),32.6 (±12.9),46.02(±17.5),0.6(±0.7),27.9(±11.7),987.3(±980.1)
CL-cm-sz..n,Calcaric Cambic Leptosol,7.3,8 (-),16 (-),1.189 (-),7.9 (-),0.8 (-),68 (-),11.8 (-),(-)(-),(-)(-),(-)(-)
CM-ca,Calcaric Cambisol,19.4,36.9 (±21.2),10.6 (±4.5),0.667 (±0.280),7.8(±0.1),0.91 (±0.46),19.9 (±16.8),39.9(±19.4),0.6(±0.7),31.2 (±11.6),731.7(±777.8)
CM-ca-ye,Calcaric Cambisol (Yermic),47.4,26.7 (±5.09),11.7 (±4.6),0.322 (±0.361),7.9 (±0.1),0.90 (±0.47),21.6 (±17.5),34.6(±10.6),0.4(±0.8),30.5 (±6.7),237.8(±368)
CM-fl.ca,Calcaric Fluvic Cambisol,12.04,22.9 (±5.2),8.9 (±6.2),0.461 (±0.329),7.8 (±0.1),0.89 (±0.26),25.8 (±13.1),29.3(±6.9),0.3(±0.6),28.02(±5.3),262.9(±533.4)
FL-ca,Calcaric Fluvisol,15.6,20.04 (±7.4),12.04 (±3.9),0.802 (±0.192),7.9 (±0.1),0.81 (±0.24),18.4 (±6.4),62.4(±21.9),1.2(±0.6),26.8(±5.3),1268.4(±524.4)
FL-ca-ye,Calcaric Fluvisol (Yermic),0.8,42.6 (±13.1),19.2 (±5.9),0.703 (±0.118),8.1 (±0.1),0.78 (±0.42),34.3 (±14.003),25.01(±11.8),0.7(±0.8),28.3 (±3.3),847.0(±858.7)
FL-cm.ca,Cambic Arenosols,2.7,33.3 (±4.3),13.5 (±3.1),0.623 (±0.285),8.007 (±0.1),1.73 (±1.05),23.2 (±8.03),33.8(±10.9),0.2(±0.3),30.3(±4.05),176.6(±246.4)
FL-lp.gl,Cambic Calcisol (Endosalic),0.5,41.6 (±19.1),19.8 (±5.1),0.761 (±0.245),7.9 (±0.3),2.91 (±4.52),31.2 (±12.5),16.2 (±16.07),0.9(±0.7),38.8 (±7.7),1063.5(±748.1)
lsL (PA-cRm),Cambic Leptosol,11.7,24.3 (±4.5),9.1 (±5.3),0.455 (±0.460),7.9 (±0.05),0.82 (±0.25),21.8 (±8.2),36.6(±9.4),0.1(±0.2),29.4 (±4.8),135.4(±203.4)
lLs P(-CcMm.)ca,Fluvic Gypsic Solonchak,38.08,35.3 (±18.1),12.7(±4.7),0.882 (±0.236),7.9 (±0.3),3.32 (±2.20),23.5 (±20.5),43.4(±13.4),0.7(±0.8),30.4 (±7.2),738.8(±925.6)
S(CC-Lg)y.fl,Gypsic Leptic Calcisol,28.2,38.05 (±25.5),9.7 (±1),0.969 (±0.391),7.7 (±0.3),0.76 (±0.72),30.9 (±19.4),37.6(±21.1),0.3(±0.6),25.4 (±5.2),489.6(±979.2)
